Age,Gender Identity,Gender Alignment,Main Species
26,male,cisgender,redfox
31,male,cisgender,husky
29,both,transgender,redfox
32,male,cisgender,horse
37,female,cisgender,fennec
18,male,cisgender,redfox
24,female,cisgender,wolf
36,male,cisgender,wolf
18,male,cisgender,domesticcat
18,male,transgender,fennec
20,mostly_male,complicated,husky
30,male,cisgender,tiger
21,female,cisgender,dragon
16,male,complicated,snowleopard
15,female,cisgender,
23,nonbinary_nos,complicated,wolf
29,female,cisgender,redfox
20,male,cisgender,wolf
22,male,cisgender,arcticfox
18,mostly_male,cisgender,wolf
21,male,cisgender,redfox
19,male,cisgender,redfox
22,male,cisgender,hyaena
22,male,transgender,redfox
31,nonbinary_nos,complicated,otherfeline
24,male,cisgender,polarbear
20,male,cisgender,redfox
19,male,complicated,dragon
23,male,cisgender,wolf
29,mostly_male,cisgender,otherfox
31,male,cisgender,redfox
20,female,cisgender,wolf
18,mostly_female,cisgender,domesticcat
33,male,cisgender,wolf
17,male,cisgender,wolf
30,male,cisgender,leopard
26,male,cisgender,kangaroo
31,both,transgender,wolf
33,male,cisgender,otherdog
20,female,cisgender,anthro
17,female,cisgender,
31,male,cisgender,raccoon
30,female,cisgender,arcticfox
20,male,cisgender,wolf
47,male,cisgender,domesticcat
21,male,cisgender,
32,nonbinary_nos,transgender,raccoon
23,female,cisgender,wolf
22,genderqueer,complicated,fennec
22,female,cisgender,fennec
26,genderqueer,complicated,wolf
24,male,cisgender,otherbird
52,male,cisgender,snowleopard
23,male,cisgender,wolf
21,male,cisgender,riverotter
20,male,cisgender,redpanda
45,male,cisgender,otherdog
22,male,cisgender,wolf
25,male,cisgender,rabbit
22,female,cisgender,other
38,male,cisgender,hyaena
23,male,cisgender,wolf
25,male,cisgender,wolf
22,male,cisgender,husky
28,male,cisgender,squirrel
40,male,cisgender,wolf
20,genderqueer,transgender,wolf
21,mostly_male,complicated,kitsune
20,male,cisgender,raccoon
31,male,cisgender,lion
20,male,cisgender,other
27,female,cisgender,domesticcat
27,male,cisgender,wolf
20,mostly_male,transgender,othercanine
23,male,cisgender,mouse
23,male,cisgender,coyote
23,male,cisgender,dragon
33,mostly_female,cisgender,otherreptile
31,mostly_male,transgender,otherdog
26,male,cisgender,germanshepherd
31,male,cisgender,other
25,male,cisgender,
29,male,cisgender,husky
29,mostly_male,transgender,
19,female,transgender,other
26,male,cisgender,otherbear
