age,orientation
25,Completely heterosexual
29,Completely homosexual
22,Other
30,Completely homosexual
23,"Bisexual, leaning homosexual"
16,Completely homosexual
22,Bisexual
25,Mostly homosexual
14,Asexual
31,"Bisexual, leaning homosexual"
20,Pansexual
22,Mostly homosexual
19,Mostly homosexual
29,"Bisexual, leaning homosexual"
18,Mostly homosexual
16,Completely homosexual
24,Mostly homosexual
30,Bisexual
45,Mostly homosexual
48,"Bisexual, leaning homosexual"
24,Completely homosexual
19,"Bisexual, leaning homosexual"
28,"Bisexual, leaning homosexual"
19,"Bisexual, leaning homosexual"
24,Pansexual
44,Other
18,Pansexual
23,Other
33,Mostly heterosexual
29,Mostly heterosexual
34,"Bisexual, leaning homosexual"
21,"Bisexual, leaning heterosexual"
24,Bisexual
25,Asexual
22,Mostly homosexual
25,Mostly homosexual
42,Completely heterosexual
21,Bisexual
21,Completely homosexual
36,Mostly heterosexual
24,Asexual
23,Pansexual
26,Other
18,Bisexual
26,Bisexual
19,Completely homosexual
29,Mostly homosexual
15,"Bisexual, leaning heterosexual"
20,Mostly heterosexual
23,Pansexual
30,"Bisexual, leaning homosexual"
19,Completely heterosexual
24,Completely homosexual
24,Completely homosexual
24,"Bisexual, leaning heterosexual"
23,Mostly homosexual
25,"Bisexual, leaning heterosexual"
16,Bisexual
21,Completely heterosexual
17,Mostly heterosexual
0,Mostly homosexual
24,Completely homosexual
31,Mostly homosexual
20,Completely homosexual
22,"Bisexual, leaning heterosexual"
24,Mostly heterosexual
18,Mostly heterosexual
23,Completely heterosexual
25,Pansexual
28,Mostly heterosexual
18,Pansexual
24,Pansexual
20,Mostly heterosexual
30,Mostly homosexual
24,Mostly homosexual
19,Completely homosexual
23,Pansexual
18,"Bisexual, leaning homosexual"
22,Asexual
30,"Bisexual, leaning homosexual"
21,Completely homosexual
20,Completely heterosexual
17,Completely homosexual
27,Completely heterosexual
27,"Bisexual, leaning homosexual"
30,"Bisexual, leaning homosexual"
20,Bisexual
23,Completely homosexual
29,Pansexual
27,Pansexual
23,Completely homosexual
29,Mostly heterosexual
27,Pansexual
18,Completely homosexual
30,Other
19,"Bisexual, leaning heterosexual"
16,"Bisexual, leaning heterosexual"
19,Other
30,Mostly heterosexual
20,Completely heterosexual
19,Bisexual
29,"Bisexual, leaning heterosexual"
21,Completely heterosexual
32,Mostly heterosexual
25,Other
17,Bisexual
19,Mostly homosexual
19,Pansexual
24,"Bisexual, leaning heterosexual"
18,Completely homosexual
16,Mostly heterosexual
18,Asexual
25,Completely homosexual
22,Bisexual
36,Completely homosexual
28,Mostly homosexual
22,Pansexual
20,Completely homosexual
13,"Bisexual, leaning heterosexual"
29,"Bisexual, leaning heterosexual"
29,Completely heterosexual
28,"Bisexual, leaning homosexual"
24,Pansexual
20,Other
18,Completely heterosexual
27,Other
34,"Bisexual, leaning heterosexual"
20,"Bisexual, leaning heterosexual"
19,Other
24,Asexual
28,Mostly heterosexual
21,"Bisexual, leaning heterosexual"
16,Completely heterosexual
28,"Bisexual, leaning homosexual"
28,Completely heterosexual
13,Bisexual
24,Pansexual
18,Bisexual
20,"Bisexual, leaning heterosexual"
14,Completely heterosexual
15,Mostly heterosexual
21,Completely homosexual
22,Completely heterosexual
19,Completely homosexual
16,"Bisexual, leaning homosexual"
19,Completely homosexual
19,Completely homosexual
38,Mostly heterosexual
14,Mostly homosexual
16,Completely homosexual
38,"Bisexual, leaning homosexual"
17,Other
19,Completely heterosexual
22,"Bisexual, leaning heterosexual"
14,Completely heterosexual
21,"Bisexual, leaning homosexual"
31,Completely homosexual
25,Completely homosexual
24,Mostly homosexual
17,Pansexual
27,Completely heterosexual
30,"Bisexual, leaning homosexual"
31,Pansexual
28,Other
13,Completely heterosexual
18,Completely heterosexual
23,Pansexual
24,"Bisexual, leaning heterosexual"
26,"Bisexual, leaning heterosexual"
19,Mostly heterosexual
21,Mostly homosexual
24,Mostly homosexual
30,Pansexual
19,"Bisexual, leaning homosexual"
42,Mostly homosexual
18,Mostly homosexual
