Species,Sexual dominance,Romantic dominance,Social dominance
otherfeline; other,-1,-1,1
wolf; arcticfox; kitsune; otherfox; dragon; kangaroo,0,-1,-1
other,2,2,2
redfox,-2,-1,2
wolf,0,1,1
dragon,-1,0,1
redfox; coyote,-1,-1,0
greyfox,1,0,-1
domesticcat,-2,0,1
other,1,0,0
leopard; otherfeline,0,0,0
other,2,1,1
coyote; germanshepherd,-2,-2,-2
squirrel,-2,-1,0
otherdog,0,0,1
other,0,0,-2
otherdog; otherreptile,1,0,-1
othercanine,2,0,-1
otherdog,0,0,0
wolf,1,2,2
raven,0,0,-1
raven; raptor; otherbird,-2,0,1
tiger,-1,-2,-2
wolf,-1,-2,0
dragon,1,1,1
redfox,-2,-2,2
other,-1,-1,1
arcticfox; otherfeline,-1,1,1
raccoon,-2,-1,-2
redfox,-1,0,1
panther,1,1,0
snowleopard,-1,0,-1
othermustelid,0,0,-1
redpanda,0,0,0
coyote; husky,-1,-1,-2
dragon,-1,1,-1
rabbit,0,0,-1
otherdog,-1,0,-2
otherbird,-1,0,0
dragon; other,-1,-2,1
other,-1,-1,0
dragon; lizard,-1,-1,0
otherdog,-1,-1,1
dragon,0,1,1
otherdog,0,-1,0
dragon,0,-2,-1
horse,1,-1,-2
fennec; lion; dragon; raptor; kangaroo; hyaena; bat,-1,-2,-1
horse,0,-1,-1
dragon,-1,1,-1
raccoon,1,0,1
otherfeline,2,2,2
otherbear,0,0,-1
otherdog; brownbear; grizzlybear,-1,0,-1
redfox,-1,0,0
badger,1,0,-1
rat,2,-2,0
otherdog,1,-1,0
other,-1,1,2
otherfeline,-2,-1,-1
otherfeline,0,0,1
otherfox,-1,1,1
other,-1,1,1
other,1,2,-2
rabbit,0,0,0
deer,0,0,-1
domesticcat,-1,-1,-1
domesticcat; squirrel,0,-1,0
other,-2,0,1
otherbird,-1,2,1
lion,-1,0,1
rat,-1,-1,-2
otherfeline,1,-1,-1
redfox,1,1,-1
arcticfox,1,-1,-1
mouse,-1,-1,-1
tiger,0,0,0
lion,0,0,0
kitsune,1,1,1
redfox,-1,-1,-1
raccoon,2,0,1
raccoon,0,0,0
husky,-2,0,0
wolf,2,1,0
husky,0,0,0
lizard,-2,-1,0
dragon,-2,-1,-1
otherreptile,0,0,0
dragon; otherreptile,-1,1,2
other,0,0,-1
wolf,0,0,0
rabbit,1,-1,-2
redfox,0,-1,2
wolf; othercanine,1,2,1
snowleopard,1,0,1
redfox; coyote,1,0,0
coyote,0,-1,-1
otherfeline,-1,0,0
coyote; riverotter; raven,-1,-2,-2
raven,-1,0,0
kangaroo,-2,0,0
rabbit,1,-1,0
cheetah; dragon,-1,-1,-2
otherdog,0,0,1
wolf,1,1,-1
otherfox,-1,-1,1
wolf,1,1,0
weasel,0,0,-1
wolf; dragon,-2,-2,-2
dragon,2,0,-1
redfox; tiger; dragon,1,1,1
germanshepherd,-2,0,0
rabbit,-1,1,1
otherbird,-1,0,1
otherfeline,0,0,0
,-1,-1,-2
dragon,1,0,-1
dragon; other,-1,0,0
otherdog,0,0,-1
redfox,-2,0,-1
dragon; dinosaur,1,1,1
tiger,1,1,0
wolf,1,2,0
wolf,-1,0,-1
otherfox,0,-1,-1
snowleopard,-1,1,2
redpanda,-1,0,-1
redfox,1,-1,0
horse,-1,-1,-1
greyfox,0,-1,1
otherbear,0,1,2
collie,-1,0,1
horse,-2,-1,-1
wolf,-2,-1,-1
wolf; raven,2,2,2
otherfeline,1,1,0
dragon,0,0,0
other,0,0,0
coyote,-1,0,1
greyfox; raccoon,1,2,0
tiger,1,1,2
lizard,0,0,0
dragon,-1,0,0
wolf; panther,0,0,2
weasel,0,-1,1
wolf,1,1,0
otherbird,-2,-1,0
other,-1,1,1
other,-1,0,1
wolf; squirrel,0,-1,-2
redfox; otherdog,-2,-2,-1
other,-2,-2,0
redfox; otherfox,-1,-1,-2
redfox,1,0,-2
other,-1,1,0
domesticcat,1,1,1
riverotter; seaotter,-1,0,1
otherbird,-1,0,0
lion,0,0,0
otherbird; other,1,1,1
domesticcat,-2,-2,2
other,2,2,2
other,1,-1,0
othermustelid,0,1,1
cheetah,1,-1,2
otherfox,-2,2,2
othercanine; raccoon,-2,1,-1
raccoon,-1,0,-2
wolf,0,1,1
otherfeline,1,1,1
brownbear,1,-1,0
weasel,0,0,-1
dragon,-1,-1,1
domesticcat,-1,0,0
coyote,-1,-1,-1
wolf,1,-1,-2
wolf,1,-1,0
deer,-1,0,0
rabbit,-1,-2,-2
fennec,2,0,1
wolf,-1,2,-2
otherdog; otherbird; other,-1,-1,0
wolf,-1,0,0
otherfeline,0,1,1
redfox,-1,1,-1
wolf; redfox,-1,-2,1
other,-1,0,1
raccoon; raven,0,1,1
raccoon,-2,-2,-2
dragon,-1,0,-1
dragon,-1,-1,0
dinosaur,1,0,-1
coyote,0,0,-1
otherdog,1,1,1
otherdog,-1,1,0
domesticcat; squirrel,1,-1,-2
horse,-1,-1,0
bat,0,1,-1
wolf; husky,-1,-1,-1
otherreptile; other,0,0,1
wolf; other,-1,-1,-1
bat,0,0,0
dragon,0,0,0
,1,0,0
domesticcat,1,1,-2
tiger,1,-2,-1
otherdog; other,0,1,2
domesticcat,-1,0,0
wolf,-1,1,1
lion; otherreptile; otherungulate,0,0,0
lizard,0,0,0
wolf; dragon,1,1,-1
redfox,1,1,-1
otherfox,-1,-1,1
deer,-1,0,0
domesticcat; otherbird; other,-1,0,0
wolf,-2,0,-1
seaotter,-1,0,1
domesticcat; weasel; deer; other,-2,0,-1
wolf,-1,0,0
squirrel,-2,-2,-2
horse,-1,-1,-1
redfox,1,1,0
arcticfox,-1,0,0
redfox; otherfox,-2,-1,-1
redfox,-1,-1,-1
wolf,0,-1,0
redfox,0,0,1
dragon,0,0,-1
other,1,1,0
griffin,0,0,1
lion,1,1,0
redpanda,-2,-1,-1
otherungulate,-1,0,0
otherdog,-1,0,1
otherbird,0,-1,-1
lion; otherfeline; other,0,2,2
raccoon; rabbit,0,0,-1
coyote,2,2,1
lizard,1,1,0
redfox,1,1,1
otherdog,-1,0,0
domesticcat,0,0,-1
other,1,-2,-2
,1,0,0
othermustelid,0,-1,1
arcticfox,-2,-2,-2
dragon,-1,1,1
dinosaur,1,0,0
otherdog,1,0,1
domesticcat,0,-1,-1
collie,-2,-1,0
snowleopard,-1,-2,0
husky,1,1,1
redfox,-2,-1,0
lizard,1,1,-1
other,-1,-1,-1
dragon,1,1,0
othercanine,0,0,0
kitsune,1,2,1
kitsune,-2,0,2
lion; leopard,-1,1,0
wolf,-1,0,0
domesticcat,-1,-1,-1
other,0,0,-1
other,1,-1,2
bat,-1,0,0
wolf,0,1,-2
raven,-2,-1,1
redfox,0,1,0
greyfox,1,2,1
deer,-1,0,0
riverotter,-1,-2,1
rabbit,-2,-1,-1
domesticcat,-1,-2,0
rabbit,-2,-2,0
coyote,0,1,-1
otherungulate,-2,-2,0
wolf; kitsune; husky,0,0,-1
other,-1,0,0
other,-1,-1,-1
husky,-1,-1,2
rabbit,-1,0,-2
domesticcat; rabbit,-2,-2,-2
dragon,0,-1,0
other,-2,0,-1
wolf; arcticfox; dragon; lizard; deer,-1,-1,-1
dinosaur,-1,0,0
dragon,-1,0,0
othercanine,0,0,-1
rat,0,0,1
redfox,-1,0,0
tiger,-1,-1,0
otherdog,-1,-1,-1
wolf; otherungulate,-2,0,0
raccoon,0,-2,-1
other,1,1,2
skunk,1,0,1
tiger,0,0,0
otherfeline,-1,0,0
redfox,0,0,1
wolf; other,0,1,0
snowleopard,-1,0,2
dragon; lizard; dinosaur,0,-1,1
weasel,-1,0,0
wolf; horse,-1,0,0
wolf,1,0,1
leopard,-1,0,-1
wolf; fennec,-2,-2,-2
snowleopard,-1,1,-1
lion,-1,0,0
,1,1,2
dragon,1,1,0
rabbit,-1,1,-1
otherreptile; otherbird,2,-1,1
dragon,1,0,2
badger,-1,-2,0
otherfox,-2,-2,-2
jackal,,,1
other,-2,-1,-1
otherdog,2,1,1
wolf; fennec; otherdog; snowleopard,-2,-2,-1
otherdog; othercanine; other,-1,-1,1
domesticcat,-2,-1,1
otherfox,-2,-1,-1
otherfeline,0,0,0
othercanine; other,1,1,1
wolf; redfox; otherfox; coyote; husky,-1,0,0
husky,1,0,-2
tiger,0,0,0
otherungulate,0,0,0
dragon,1,-1,0
redfox,-1,-1,-2
wolf,-2,0,1
wolf,-1,0,1
wolf; germanshepherd,-1,0,1
otherungulate,1,-2,0
lion; dragon; brownbear; griffin,-1,-2,1
otherbird,0,1,-1
other,0,-1,1
griffin; other,-1,0,-2
tiger,1,-1,-1
raccoon,-2,0,0
