        duration         |  id   | empty_count | full_count | sum | percent_complete 
 00:02:58.617383         |  5762 |          15 |         21 |  36 | 58.3333333333333
 00:10:55.078136         | 11456 |          14 |         20 |  34 | 58.8235294117647
 00:03:40.600162         |  7845 |          14 |         20 |  34 | 58.8235294117647
 1 day 04:10:05.685295   |  1163 |          14 |         20 |  34 | 58.8235294117647
 00:04:13.651459         |   182 |          14 |         20 |  34 | 58.8235294117647
 00:01:55.925897         |  6179 |          14 |         20 |  34 | 58.8235294117647
 00:05:23.809905         |  6406 |          14 |         20 |  34 | 58.8235294117647
 00:02:44.31061          |   213 |          15 |         22 |  37 | 59.4594594594595
 00:04:41.934147         |   827 |          15 |         22 |  37 | 59.4594594594595
 00:03:17.07329          |   136 |          15 |         22 |  37 | 59.4594594594595
 00:02:34.020292         |  4655 |          15 |         22 |  37 | 59.4594594594595
 00:04:26.440435         |  6168 |          15 |         22 |  37 | 59.4594594594595
 00:08:02.248213         |  2351 |          14 |         21 |  35 |               60
 00:02:14.257061         |  3643 |          21 |         33 |  54 | 61.1111111111111
 00:05:20.021673         |  4964 |          14 |         22 |  36 | 61.1111111111111
 00:06:42.032283         |  1049 |          15 |         24 |  39 | 61.5384615384615
 00:04:46.558608         |  2748 |          15 |         24 |  39 | 61.5384615384615
 00:07:30.616154         | 11213 |          14 |         23 |  37 | 62.1621621621622
 00:05:57.222288         |  7074 |          14 |         23 |  37 | 62.1621621621622
 00:12:06.671415         | 11211 |          14 |         23 |  37 | 62.1621621621622
 00:02:58.628745         |  3759 |          14 |         23 |  37 | 62.1621621621622
 00:02:51.027975         |   269 |          14 |         23 |  37 | 62.1621621621622
 00:03:15.693153         |  9514 |          14 |         23 |  37 | 62.1621621621622
 00:06:00.448339         |  6325 |          14 |         23 |  37 | 62.1621621621622
 00:05:00.252805         |  9797 |          20 |         33 |  53 | 62.2641509433962
 00:03:50.196565         |  3677 |          14 |         24 |  38 | 63.1578947368421
 00:04:50.653453         |  2586 |          14 |         24 |  38 | 63.1578947368421
 00:03:51.941895         |   393 |          14 |         24 |  38 | 63.1578947368421
 00:04:39.50821          | 10673 |          18 |         31 |  49 |  63.265306122449
 00:07:07.507066         |  3532 |          13 |         24 |  37 | 64.8648648648649
 00:03:16.732227         |   694 |          14 |         26 |  40 |               65
 00:11:44.382635         |  4991 |          13 |         25 |  38 | 65.7894736842105
 00:03:36.840216         |  9175 |          14 |         27 |  41 | 65.8536585365854
 00:13:06.022383         |  8810 |          13 |         26 |  39 | 66.6666666666667
 00:04:27.569547         |  9992 |          12 |         29 |  41 | 70.7317073170732
