  id   | empty_count | full_count | sum 
  2003 |          13 |         69 |  82
  9361 |          17 |         66 |  83
  9515 |          12 |         71 |  83
 11831 |          19 |         64 |  83
  6108 |          13 |         70 |  83
  9607 |          14 |         69 |  83
   847 |          12 |         71 |  83
  5801 |          13 |         70 |  83
   806 |          12 |         72 |  84
  6583 |          13 |         71 |  84
  5500 |          13 |         71 |  84
 10280 |          13 |         71 |  84
  2583 |          12 |         72 |  84
  7109 |          14 |         70 |  84
  4478 |          12 |         72 |  84
  8288 |          13 |         71 |  84
 11624 |          16 |         69 |  85
  7181 |          13 |         72 |  85
  5433 |          12 |         73 |  85
  5451 |          14 |         72 |  86
  2128 |          12 |         74 |  86
 10462 |          13 |         73 |  86
  2734 |          13 |         73 |  86
  1571 |          13 |         73 |  86
  5578 |          10 |         76 |  86
  8819 |          17 |         70 |  87
  8898 |          14 |         74 |  88
  3963 |          12 |         76 |  88
  3693 |          12 |         76 |  88
 10756 |          13 |         76 |  89
  5180 |          13 |         77 |  90
  9439 |          13 |         78 |  91
  7524 |          11 |         80 |  91
  4974 |          12 |         79 |  91
  8129 |          14 |         77 |  91
  8946 |          14 |         79 |  93
  9793 |          13 |         80 |  93
  2902 |          11 |         82 |  93
  4938 |          13 |         80 |  93
  2862 |          11 |         83 |  94
   959 |          14 |         80 |  94
 11110 |          14 |         80 |  94
  5277 |          15 |         79 |  94
 10623 |          13 |         81 |  94
  6883 |          14 |         80 |  94
  3555 |          15 |         80 |  95
  7360 |          11 |         84 |  95
  1641 |          13 |         82 |  95
  9237 |          15 |         81 |  96
  3400 |          12 |         84 |  96
  5933 |          13 |         84 |  97
  8307 |          21 |         76 |  97
  7869 |          13 |         84 |  97
  6272 |          15 |         82 |  97
 11154 |          13 |         84 |  97
  7888 |          13 |         84 |  97
  6815 |          11 |         86 |  97
  1914 |          14 |         83 |  97
 11304 |          14 |         84 |  98
  5304 |          13 |         85 |  98
  1257 |          14 |         84 |  98
  8614 |          14 |         84 |  98
  6527 |          14 |         84 |  98
  6670 |          11 |         87 |  98
 10927 |          13 |         85 |  98
  6830 |          10 |         88 |  98
  6923 |          18 |         80 |  98
  4865 |          11 |         87 |  98
  4389 |          11 |         88 |  99
  2846 |          14 |         85 |  99
  5382 |          12 |         87 |  99
  1967 |          14 |         85 |  99
  5470 |          13 |         86 |  99
